year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,normalized_degree,canonical_degree
2019,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",History,73,56.8,3449,3500,3498,3500,3200,3800,history,History
2019,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics And Multilingual Studies,81.7,65,3265,3160,3365,3200,3000,3740,linguistics and multilingual studies,Linguistics And Multilingual Studies
2019,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Philosophy ^,82.6,69.6,3288,3300,3369,3500,3300,3584,philosophy,Philosophy
2019,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,89.2,73.1,3463,3350,3506,3400,3100,3800,psychology,Psychology
2019,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Public Policy And Global Affairs,90.2,87.8,3756,3691,3868,3850,3500,4345,public policy and global affairs,Public Policy And Global Affairs
2019,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,86.9,70.5,3305,3200,3441,3300,3040,3600,sociology,Sociology
2019,Nanyang Technological University,College of Sciences,Biological Sciences,81.6,66.3,3315,3300,3450,3300,3100,3600,biological sciences,Biomedical Sciences
2019,Nanyang Technological University,College of Sciences,Biomedical Sciences & Chinese Medicine # ^,95.2,85.7,2964,3000,2979,3000,2780,3200,biomedical sciences & chinese medicine,Biomedical Sciences (Traditional Chinese Medicine)
2019,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,80.9,66.2,3246,3200,3338,3400,3000,3600,chemistry & biological chemistry,Chemistry & Biological Chemistry
2019,Nanyang Technological University,College of Sciences,Environmental Earth Systems Sciences ^,87.5,79.2,3401,3500,3416,3500,3200,3500,environmental earth systems sciences,Environmental Earth Systems Sciences
2019,Nanyang Technological University,College of Sciences,Mathematical Sciences,91.2,79.6,3741,3549,3848,3599,3215,4070,mathematical sciences,Mathematical Science
2019,Nanyang Technological University,College of Sciences,Mathematics & Economics,93.5,84.8,3838,3570,3996,3700,3400,4167,mathematics & economics,Mathematics & Economics
2019,Nanyang Technological University,College of Sciences,Physics & Applied Physics,90,78.6,3782,3500,3849,3500,3300,4200,physics & applied physics,Physics / Applied Physics
2019,Nanyang Technological University,Sports Science and Management,Sports Science and Management,87,55.6,3289,3200,3438,3350,3000,3660,sports science and management,Sports Science And Management
2019,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),100,100,3629,3800,3710,3800,3600,3806,arts (with education),Arts (With Education)
2019,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),100,100,3719,3800,3758,3800,3660,3840,science (with education),Science (With Education)
2019,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine #,100,100,4932,4700,5661,5700,5200,6092,medicine,Medicine
2019,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,84.9,64.5,3225,3000,3456,3200,2800,3700,arts,Arts
2019,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),92.7,68.2,3421,3500,3537,3500,3250,3800,arts (hons),Arts (Hons)
2019,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,88,75.9,3590,3500,3674,3500,3212,3850,social sciences,Social Sciences
2019,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,100,97.3,4057,4200,4068,4200,4000,4500,dental surgery,Dental Surgery
2019,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering),80.4,68.6,3480,3500,3535,3500,3200,3800,(biomedical engineering),(Chemical Engineering)
2019,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),92.4,86.7,3802,3700,3959,3950,3500,4300,(chemical engineering),(Chemical Engineering)
2019,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),95,93,3685,3500,3746,3600,3400,4025,(civil engineering),(Chemical Engineering)
2019,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),89.6,85.2,3957,3800,4101,4000,3600,4600,(electrical engineering),(Chemical Engineering)
2019,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science) ^,84.6,84.6,4115,3500,4285,3750,3400,5200,(engineering science),(Engineering Science)
2019,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),89.5,80.7,3473,3400,3569,3400,3200,3900,(environmental engineering),(Environmental Engineering)
2019,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),97.6,96.5,4303,3850,4451,4000,3500,4600,(industrial and systems engineering),(Industrial And Systems Engineering)
2019,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),78.6,76.2,3796,3700,4086,4000,3700,4600,(materials science and engineering),(Materials Science And Engineering)
2019,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),88.6,86.7,3745,3500,3847,3700,3400,4300,(mechanical engineering),(Chemical Engineering)
2019,National University of Singapore,Faculty of Law,Bachelor of Laws #,95.7,93,5068,5000,5160,5400,4500,5800,laws,Laws
2019,National University of Singapore,Faculty of Science,Bachelor of Science,84,59.3,3181,3000,3320,3100,2900,3600,science,Science
2019,National University of Singapore,Faculty of Science,Bachelor of Science (Hons) ^,88.5,72.3,3510,3355,3605,3500,3100,3800,(hons),(Hons)
2019,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,na,na,na,na,na,na,na,na,(computational biology),Computing (Computational Biology)
2019,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) #,100,95.5,3648,3600,3840,3750,3500,4000,(pharmacy),(Pharmacy)
2019,National University of Singapore,NUS Business School,Bachelor of Business Administration,100,82.6,4799,4000,4925,4000,3400,5500,business administration,Business Administration
2019,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),95.5,91,4451,4000,4593,4150,3500,5000,business administration (hons),Business Administration
2019,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) ^,93.8,93.8,3897,3000,4005,3000,3000,3800,business administration (accountancy),Business Administration (Accountancy)
